ticker,scope,statement_type,source_mode,raw_fetch_success,data_status,raw_shape,normalized_rows,missing_report_period,missing_available_from,lag_mismatches,error
BIC,FINANCIAL_RAW_FETCH_ONLY,CASH_FLOW,CACHED_RAW_RENORMALIZED,True,OK,"[49,7]",196,0,0,0,
BID,FINANCIAL_RAW_FETCH_ONLY,BALANCE_SHEET,CACHED_RAW_RENORMALIZED,True,OK,"[86,7]",288,0,0,0,
BID,FINANCIAL_RAW_FETCH_ONLY,INCOME_STATEMENT,CACHED_RAW_RENORMALIZED,True,OK,"[26,7]",104,0,0,0,
BID,FINANCIAL_RAW_FETCH_ONLY,CASH_FLOW,CACHED_RAW_RENORMALIZED,True,OK,"[52,7]",208,0,0,0,
BIG,NON_FINANCIAL,BALANCE_SHEET,CACHED_RAW_RENORMALIZED,True,OK,"[122,7]",408,0,0,0,
BIG,NON_FINANCIAL,INCOME_STATEMENT,CACHED_RAW_RENORMALIZED,True,OK,"[25,7]",100,0,0,0,
BIG,NON_FINANCIAL,CASH_FLOW,CACHED_RAW_RENORMALIZED,True,OK,"[41,7]",164,0,0,0,
BKG,NON_FINANCIAL,BALANCE_SHEET,CACHED_RAW_RENORMALIZED,True,OK,"[122,7]",408,0,0,0,
BKG,NON_FINANCIAL,INCOME_STATEMENT,CACHED_RAW_RENORMALIZED,True,OK,"[25,7]",100,0,0,0,
BKG,NON_FINANCIAL,CASH_FLOW,CACHED_RAW_RENORMALIZED,True,OK,"[41,7]",164,0,0,0,
BMI,FINANCIAL_RAW_FETCH_ONLY,BALANCE_SHEET,CACHED_RAW_RENORMALIZED,True,REQUIRED_ITEM_AMBIGUOUS,"[151,7]",0,0,0,0,
BMI,FINANCIAL_RAW_FETCH_ONLY,INCOME_STATEMENT,CACHED_RAW_RENORMALIZED,True,OK,"[84,7]",312,0,0,0,
BMI,FINANCIAL_RAW_FETCH_ONLY,CASH_FLOW,CACHED_RAW_RENORMALIZED,True,OK,"[49,7]",196,0,0,0,
BMP,NON_FINANCIAL,BALANCE_SHEET,CACHED_RAW_RENORMALIZED,True,OK,"[122,7]",408,0,0,0,
BMP,NON_FINANCIAL,INCOME_STATEMENT,CACHED_RAW_RENORMALIZED,True,OK,"[25,7]",100,0,0,0,
BMP,NON_FINANCIAL,CASH_FLOW,CACHED_RAW_RENORMALIZED,True,OK,"[41,7]",164,0,0,0,
